family	Lotmaria passim	Bodo saltans	Paratrypanosoma confusum	Trypanosoma brucei	Trypanosoma cruzi	Trypanosoma theileri	Leishmania donovani	Leishmania major	Leishmania braziliensis	Crithidia fasciculata	Crithidia bombi	Leptomonas seymouri	Leptomonas pyrrhocoris
OG0000084	0	2	1	0	0	2	0	0	0	0	0	0	0
OG0000085	0	3	0	0	0	0	1	1	0	0	0	0	0
OG0000086	0	5	0	0	0	0	0	0	0	0	0	0	0
OG0000087	0	5	0	0	0	0	0	0	0	0	0	0	0
OG0000088	0	1	1	1	1	0	0	0	1	0	0	0	0
OG0000089	0	4	0	0	0	1	0	0	0	0	0	0	0
OG0000090	0	1	1	0	0	0	0	1	0	1	0	0	1
OG0000091	0	5	0	0	0	0	0	0	0	0	0	0	0
OG0000092	0	1	1	0	0	0	0	0	0	0	1	1	1
OG0000093	0	1	0	0	1	0	0	0	0	1	0	1	1
OG0000094	1	3	0	0	0	0	0	0	0	0	0	0	1
OG0000095	0	1	3	0	0	0	0	0	0	0	0	0	1
OG0000096	0	0	0	0	0	0	0	0	0	2	2	0	1
OG0000097	1	0	0	0	0	0	0	0	0	1	1	1	1
OG0000098	0	0	0	0	0	0	0	2	0	1	1	1	0
OG0000099	1	0	0	0	0	0	0	0	0	1	1	1	1
OG0000100	0	0	1	0	0	0	1	1	0	1	1	0	0
OG0000101	1	0	1	0	0	0	1	0	1	0	1	0	0
OG0000102	1	0	0	1	0	0	0	0	1	0	1	1	0
OG0000103	0	0	0	0	0	1	1	0	1	0	1	1	0
OG0000104	1	0	1	0	0	0	0	0	0	1	1	0	1
OG0000105	0	0	1	0	0	0	0	0	0	3	0	0	1
OG0000106	0	0	1	0	1	1	0	0	1	1	0	0	0
OG0000107	0	0	0	0	0	0	1	0	1	1	0	1	1
OG0000108	0	0	0	2	0	0	0	1	0	1	0	1	0
OG0000109	1	0	0	0	0	1	0	0	1	1	0	0	1
OG0000110	0	0	1	1	1	0	0	1	0	0	0	1	0
OG0000111	0	0	2	1	1	1	0	0	0	0	0	0	0
OG0000112	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000113	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000114	0	2	0	0	0	1	0	1	0	0	0	0	0
OG0000115	0	1	1	0	0	0	0	0	0	1	0	0	1
OG0000116	0	1	1	0	0	1	0	1	0	0	0	0	0
OG0000117	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000118	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000119	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000120	0	3	0	0	0	0	0	0	0	0	1	0	0
OG0000121	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000122	0	1	0	1	1	0	1	0	0	0	0	0	0
OG0000123	0	1	1	0	0	0	1	1	0	0	0	0	0
OG0000124	0	3	0	1	0	0	0	0	0	0	0	0	0
OG0000125	1	1	0	0	0	0	0	0	0	1	0	0	1
OG0000126	0	1	0	0	2	0	1	0	0	0	0	0	0
OG0000127	0	1	0	1	0	1	0	0	0	0	0	1	0
OG0000128	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000129	2	1	0	0	0	0	0	0	0	0	1	0	0
OG0000130	0	3	0	0	0	0	0	0	1	0	0	0	0
OG0000131	0	4	0	0	0	0	0	0	0	0	0	0	0
OG0000132	0	1	0	0	0	0	0	0	0	1	1	0	1
OG0000133	0	1	0	0	0	0	0	0	0	2	0	0	1
OG0000134	1	1	0	0	0	0	0	0	1	0	0	1	0
OG0000135	0	2	0	0	0	0	0	0	0	1	1	0	0
OG0000136	0	1	0	1	0	0	0	0	0	1	0	0	1
OG0000137	0	1	0	0	0	0	1	1	0	0	1	0	0
OG0000138	0	2	0	1	0	1	0	0	0	0	0	0	0
OG0000139	0	1	3	0	0	0	0	0	0	0	0	0	0
OG0000140	0	2	1	1	0	0	0	0	0	0	0	0	0
OG0000141	0	1	0	0	0	0	0	0	0	1	1	0	1
OG0000142	1	1	0	0	0	0	0	0	0	1	1	0	0
OG0000143	0	1	1	0	1	0	0	0	0	1	0	0	0
OG0000144	0	1	0	1	1	0	0	0	0	1	0	0	0
OG0000145	0	1	1	0	1	0	0	0	0	1	0	0	0
OG0000146	1	0	0	0	0	0	0	0	0	0	1	1	1
OG0000147	1	0	0	0	0	0	0	0	0	1	1	0	1
OG0000148	0	0	0	0	0	0	0	0	0	1	1	1	1
OG0000149	0	0	1	0	0	1	0	0	1	0	1	0	0
OG0000150	0	0	0	0	0	0	0	0	0	1	1	1	1
OG0000151	1	0	0	0	0	0	0	0	0	0	1	1	1
OG0000152	1	0	0	0	0	0	0	0	0	0	1	1	1
OG0000153	1	0	0	0	0	0	0	0	0	0	1	1	1
OG0000154	1	0	0	0	0	0	0	0	0	1	1	0	1
OG0000155	1	0	0	0	0	0	0	0	0	1	1	0	1
OG0000156	0	0	1	0	0	0	0	0	1	0	1	0	1
OG0000157	1	0	0	0	0	0	0	0	0	0	1	1	1
OG0000158	0	0	0	0	0	0	1	0	0	0	1	1	1
OG0000159	1	0	0	0	0	0	0	0	0	1	1	0	1
OG0000160	1	0	0	0	0	0	0	0	1	1	0	1	0
OG0000161	1	0	0	0	0	0	0	0	0	2	0	1	0
OG0000162	1	0	0	0	0	0	0	0	0	1	0	1	1
OG0000163	1	0	0	0	0	0	0	0	0	3	0	0	0
OG0000164	0	0	1	0	0	0	0	0	0	1	0	1	1
OG0000165	1	0	1	0	0	0	0	0	0	1	0	1	0
OG0000166	0	0	0	0	1	0	1	0	0	1	0	0	1
OG0000167	0	0	1	1	0	0	0	0	0	1	0	0	1
OG0000168	0	0	0	1	0	0	0	0	0	1	0	1	1
OG0000169	0	0	0	1	0	1	0	0	0	1	0	0	1
OG0000170	1	0	0	0	0	1	1	0	1	0	0	0	0
OG0000171	0	0	1	0	1	0	1	0	0	0	0	1	0
OG0000172	0	0	0	0	0	0	1	0	0	0	0	1	2
OG0000173	0	0	1	0	1	0	0	0	0	0	0	1	1
OG0000174	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000175	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000176	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000177	0	1	1	0	0	1	0	0	0	0	0	0	0
OG0000178	0	1	1	0	1	0	0	0	0	0	0	0	0
OG0000179	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000180	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000181	0	1	1	0	0	1	0	0	0	0	0	0	0
OG0000182	1	1	0	0	0	0	0	0	0	1	0	0	0
OG0000183	0	1	1	0	0	1	0	0	0	0	0	0	0
OG0000184	1	1	0	0	0	0	0	0	0	1	0	0	0
OG0000185	0	1	2	0	0	0	0	0	0	0	0	0	0
OG0000186	0	1	0	1	1	0	0	0	0	0	0	0	0
OG0000187	0	2	0	0	0	0	0	0	0	1	0	0	0
OG0000188	0	1	0	0	1	0	0	0	0	1	0	0	0
OG0000189	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000190	1	1	0	0	0	0	0	0	0	0	0	1	0
OG0000191	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000192	0	1	0	0	0	0	0	1	0	0	0	0	1
OG0000193	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000194	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000195	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000196	0	2	0	0	0	1	0	0	0	0	0	0	0
OG0000197	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000198	0	1	0	0	1	1	0	0	0	0	0	0	0
OG0000199	0	1	1	0	0	1	0	0	0	0	0	0	0
OG0000200	0	1	0	0	1	0	0	0	0	0	0	1	0
OG0000201	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000202	0	1	0	0	0	0	0	1	0	0	1	0	0
OG0000203	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000204	0	2	0	0	0	0	0	0	0	0	0	1	0
OG0000205	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000206	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000207	0	1	1	0	0	1	0	0	0	0	0	0	0
OG0000208	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000209	0	1	0	0	0	1	0	0	0	0	0	0	1
OG0000210	0	2	0	0	0	0	0	0	0	0	0	1	0
OG0000211	0	1	0	0	0	0	1	0	1	0	0	0	0
OG0000212	0	1	0	0	0	0	1	0	0	0	0	1	0
OG0000213	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000214	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000215	0	1	0	0	1	0	1	0	0	0	0	0	0
OG0000216	0	1	1	0	0	0	0	0	1	0	0	0	0
OG0000217	0	2	1	0	0	0	0	0	0	0	0	0	0
OG0000218	0	1	1	0	1	0	0	0	0	0	0	0	0
OG0000219	0	2	1	0	0	0	0	0	0	0	0	0	0
OG0000220	0	1	1	0	1	0	0	0	0	0	0	0	0
OG0000221	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000222	0	1	0	0	0	0	1	0	0	1	0	0	0
OG0000223	0	1	0	0	0	0	0	1	0	0	0	0	1
OG0000224	0	1	2	0	0	0	0	0	0	0	0	0	0
OG0000225	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000226	0	1	0	1	0	0	0	0	1	0	0	0	0
OG0000227	0	1	1	0	0	1	0	0	0	0	0	0	0
OG0000228	0	3	0	0	0	0	0	0	0	0	0	0	0
OG0000229	1	0	0	0	0	0	0	0	0	1	1	0	0
OG0000230	1	0	0	0	0	0	0	0	0	0	1	0	1
OG0000231	0	0	0	0	0	0	0	1	0	1	1	0	0
OG0000232	0	0	0	0	0	0	0	0	0	1	1	0	1
OG0000233	0	0	0	0	0	0	0	1	0	0	1	0	1
OG0000234	0	0	0	0	0	0	0	0	0	1	0	1	1
OG0000235	0	0	0	0	0	0	0	0	0	1	0	1	1
OG0000236	1	0	0	0	0	0	0	0	0	1	0	0	1
OG0000237	0	0	0	0	0	0	0	0	0	1	0	1	1
OG0000238	0	0	0	0	0	0	0	0	0	1	0	1	1
OG0000239	0	0	0	0	0	0	0	0	0	1	0	1	1
OG0000240	1	0	0	0	0	0	0	0	0	1	0	1	0
OG0000241	0	0	0	0	0	1	0	0	0	1	0	0	1
OG0000242	2	0	0	0	0	0	0	0	0	1	0	0	0
OG0000243	0	0	0	1	0	0	0	0	1	1	0	0	0
OG0000244	0	0	0	0	0	0	1	0	0	1	0	0	1
OG0000245	0	0	0	0	0	1	0	1	0	1	0	0	0
OG0000246	0	0	0	0	0	0	1	0	1	0	0	0	1
OG0000247	0	0	0	1	0	0	0	0	1	0	0	0	1
OG0000248	1	0	0	0	0	0	0	0	1	0	0	1	0
OG0000249	0	0	0	1	0	0	1	0	1	0	0	0	0
OG0000250	0	0	0	0	0	0	0	0	1	0	0	1	1
OG0000251	0	0	0	0	1	0	0	1	1	0	0	0	0
OG0000252	0	0	0	0	1	0	1	0	0	0	0	1	0
OG0000253	1	0	0	0	0	0	0	1	0	0	0	1	0
OG0000254	0	0	1	1	0	0	0	1	0	0	0	0	0
OG0000255	0	0	1	0	0	0	0	1	0	0	0	1	0
OG0000256	0	0	1	0	0	0	0	0	0	0	0	1	1
OG0000257	0	0	0	0	0	0	0	0	0	0	0	0	3
OG0000258	0	0	1	0	0	1	0	0	0	0	0	0	1
OG0000259	0	0	1	0	1	0	0	0	0	0	0	0	1
OG0000260	1	0	1	0	0	0	0	0	0	0	0	1	0
OG0000261	0	0	1	0	1	1	0	0	0	0	0	0	0
OG0000262	0	0	1	0	1	1	0	0	0	0	0	0	0
OG0000263	0	0	0	2	1	0	0	0	0	0	0	0	0
OG0000264	0	0	0	1	0	2	0	0	0	0	0	0	0
OG0000265	0	0	0	1	1	1	0	0	0	0	0	0	0
OG0000266	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000267	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000268	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000269	0	1	0	0	0	0	0	0	0	0	1	0	0
OG0000270	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000271	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000272	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000273	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000274	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000275	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000276	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000277	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000278	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000279	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000280	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000281	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000282	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000283	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000284	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000285	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000286	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000287	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000288	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000289	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000290	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000291	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000292	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000293	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000294	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000295	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000296	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000297	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000298	0	1	0	1	0	0	0	0	0	0	0	0	0
OG0000299	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000300	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000301	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000302	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000303	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000304	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000305	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000306	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000307	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000308	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000309	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000310	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000311	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000312	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000313	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000314	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000315	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000316	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000317	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000318	0	1	0	0	0	0	0	0	0	0	1	0	0
OG0000319	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000320	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000321	0	1	0	0	0	0	0	0	0	0	1	0	0
OG0000322	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000323	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000324	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000325	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000326	0	1	0	0	0	0	0	0	1	0	0	0	0
OG0000327	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000328	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000329	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000330	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000331	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000332	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000333	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000334	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000335	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000336	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000337	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000338	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000339	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000340	0	1	0	0	0	0	0	0	0	0	1	0	0
OG0000341	0	1	0	0	0	0	0	0	0	0	1	0	0
OG0000342	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000343	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000344	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000345	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000346	0	1	0	0	0	0	0	1	0	0	0	0	0
OG0000347	0	1	0	1	0	0	0	0	0	0	0	0	0
OG0000348	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000349	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000350	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000351	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000352	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000353	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000354	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000355	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000356	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000357	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000358	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000359	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000360	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000361	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000362	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000363	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000364	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000365	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000366	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000367	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000368	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000369	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000370	0	1	0	1	0	0	0	0	0	0	0	0	0
OG0000371	0	1	0	1	0	0	0	0	0	0	0	0	0
OG0000372	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000373	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000374	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000375	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000376	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000377	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000378	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000379	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000380	0	1	0	0	1	0	0	0	0	0	0	0	0
OG0000381	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000382	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000383	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000384	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000385	0	1	0	0	0	0	0	0	0	0	0	1	0
OG0000386	0	1	0	0	0	0	0	1	0	0	0	0	0
OG0000387	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000388	0	1	0	0	0	0	0	0	0	1	0	0	0
OG0000389	0	1	1	0	0	0	0	0	0	0	0	0	0
OG0000390	0	2	0	0	0	0	0	0	0	0	0	0	0
OG0000391	0	1	0	0	0	1	0	0	0	0	0	0	0
OG0000392	0	0	1	0	0	0	0	0	0	0	1	0	0
OG0000393	0	0	0	0	0	0	0	0	0	0	1	0	1
OG0000394	0	0	0	0	0	0	0	0	0	1	1	0	0
OG0000395	0	0	0	0	0	0	0	0	0	0	1	0	1
OG0000396	0	0	0	0	0	0	1	0	0	0	1	0	0
OG0000397	0	0	1	0	0	0	0	0	0	0	1	0	0
OG0000398	0	0	0	0	0	1	0	0	0	0	1	0	0
OG0000399	0	0	0	0	0	0	0	0	0	1	1	0	0
OG0000400	1	0	0	0	0	0	0	0	0	0	1	0	0
OG0000401	0	0	0	0	0	1	0	0	0	0	1	0	0
OG0000402	0	0	0	0	0	0	0	0	0	1	0	0	1
OG0000403	1	0	0	0	0	0	0	0	0	1	0	0	0
OG0000404	0	0	0	0	0	0	0	0	0	1	0	0	1
OG0000405	0	0	0	0	0	0	0	0	0	1	0	1	0
OG0000406	0	0	0	0	0	0	0	0	1	1	0	0	0
OG0000407	1	0	0	0	0	0	0	0	0	1	0	0	0
OG0000408	0	0	0	0	0	0	0	0	1	1	0	0	0
OG0000409	0	0	1	0	0	0	0	0	0	1	0	0	0
OG0000410	0	0	0	1	0	0	0	0	0	1	0	0	0
OG0000411	0	0	0	0	0	0	0	1	0	1	0	0	0
OG0000412	0	0	0	0	0	1	0	0	1	0	0	0	0
OG0000413	0	0	0	1	0	0	0	0	1	0	0	0	0
OG0000414	0	0	0	0	0	0	1	0	1	0	0	0	0
OG0000415	0	0	0	0	0	0	1	0	1	0	0	0	0
OG0000416	0	0	0	0	0	1	0	0	1	0	0	0	0
OG0000417	0	0	0	0	0	0	1	0	0	0	0	0	1
OG0000418	0	0	0	1	0	0	1	0	0	0	0	0	0
OG0000419	0	0	0	0	1	0	1	0	0	0	0	0	0
OG0000420	0	0	0	1	0	0	1	0	0	0	0	0	0
OG0000421	0	0	0	0	0	0	0	1	0	0	0	0	1
OG0000422	0	0	1	0	0	0	0	1	0	0	0	0	0
OG0000423	0	0	1	0	0	0	0	1	0	0	0	0	0
OG0000424	0	0	0	0	0	0	0	1	0	0	0	1	0
OG0000425	0	0	0	0	0	0	0	1	0	0	0	0	1
OG0000426	0	0	0	0	0	0	0	1	0	0	0	1	0
OG0000427	0	0	0	0	0	0	0	0	0	0	0	1	1
